,Family and Type,Insulation Type,Insulation Thickness,Size,Count,Length,Area,Surface Area
2,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,150x300,1.0,5.26,4.734,0.0
3,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x150,1.0,3.945,2.762,0.0
4,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x200,1.0,12.565,10.052,0.0
5,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x250,1.0,8.223,7.401,0.0
6,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x300,1.0,8.647,8.647,0.0
7,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x400,1.0,1.861,2.233,0.0
8,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x500,1.0,0.962,1.347,0.0
9,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,250x200,1.0,50.61,45.549,0.0
10,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,250x250,1.0,100.18,100.18,0.0
11,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,250x300,1.0,21.516,23.667,0.0
12,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,250x350,1.0,0.987,1.184,0.0
13,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x150,1.0,5.732,5.159,0.0
14,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x200,1.0,33.013,33.013,0.0
15,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x250,1.0,63.203,69.524,0.0
16,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x300,1.0,35.318,42.381,0.0
17,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x350,1.0,21.103,27.434,0.0
18,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x400,1.0,2.97,4.158,0.0
19,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x200,1.0,32.122,35.334,0.0
20,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x250,1.0,7.595,9.114,0.0
21,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x300,1.0,1.205,1.566,0.0
22,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x350,1.0,18.403,25.765,0.0
23,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x700,1.0,4.895,10.279,0.0
24,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x150,1.0,6.097,6.706,0.0
25,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x200,1.0,78.211,93.853,0.0
26,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x250,1.0,42.135,54.775,0.0
27,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x300,1.0,53.446,74.824,0.0
28,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x350,1.0,12.952,19.428,0.0
29,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x400,1.0,5.135,8.216,0.0
30,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x500,1.0,0.298,0.536,0.0
31,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,450x150,1.0,0.87,1.044,0.0
32,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,450x200,1.0,45.417,59.042,0.0
33,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,450x250,1.0,40.593,56.831,0.0
34,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x150,1.0,2.431,3.16,0.0
35,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x200,1.0,15.121,21.17,0.0
36,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x250,1.0,27.312,40.968,0.0
37,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x300,1.0,12.119,19.391,0.0
38,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x350,1.0,18.548,31.532,0.0
39,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x400,1.0,31.98,57.565,0.0
40,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,550x150,1.0,14.556,20.379,0.0
41,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,550x250,1.0,7.454,11.926,0.0
42,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,550x400,1.0,37.36,70.983,0.0
43,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,600x250,1.0,2.235,3.8,0.0
44,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,600x350,1.0,4.358,8.28,0.0
45,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,650x300,1.0,8.629,16.394,0.0
46,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,650x350,1.0,28.705,57.409,0.0
47,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,700x350,1.0,15.789,33.157,0.0
48,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,700x400,1.0,15.188,33.414,0.0
49,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,700x450,1.0,3.603,8.287,0.0
50,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,750x150,1.0,0.131,0.235,0.0
52,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,750x500,1.0,3.103,7.758,0.0
54,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x150,1.0,6.293,11.957,0.0
55,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x350,1.0,13.046,30.005,0.0
56,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x400,1.0,32.68,78.432,0.0
57,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x500,1.0,5.982,15.554,0.0
58,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,850x200,1.0,11.259,23.644,0.0
59,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,850x500,1.0,2.091,5.645,0.0
60,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,900x300,1.0,15.659,37.583,0.0
61,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1150x150,1.0,3.697,9.613,0.0
63,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1700x400,1.0,28.568,119.987,0.0
